brand,category,ingredient,name,price,rating,reviews_number,unit
"
            By Blue Buffalo","Dog,Food","Crude Protein,32.0% min,Crude Fat,10.0% min,Crude Fiber,8.0% max,Moisture,10.0% max,Calcium,1.4% min,Phosphorus,1.0% min,Omega 3 Fatty Acids,0.5% min,Omega 6 Fatty Acids,2.25% min,L-Carnitine,100 mg/kg min,Glucosamine,400 mg/kg min,Chondroitin Sulfate,300 mg/kg min,Up to 5 lbs,1/4 - 1/2,1/3 - 1/2,6 - 10 lbs,1/2 - 3/4,1/2 - 1,11 - 15 lbs,3/4 - 1,1 - 1 1/4,16 - 20 lbs,1 - 1 1/4,1 1/2 - 1 1/2,21 - 25 lbs,1 1/4 - 1 1/2,1 1/2 - 1 3/4,26 - 30 lbs,1 1/2 - 1 3/4,1 3/4 - 2","
        Blue Buffalo Wilderness Healthy Weight Chicken Recipe Adult Small Breed Grain-Free Dry Dog Food","
                        $30.99",/assets/img/ratings/rating-4_6.png,29,11-lb bag
"
            By Cesar","Dog,Food","CRUDE PROTEIN,26.0% MIN,CRUDE FAT,13% MIN,CRUDE FIBER,4.5% MAX,MOISTURE,12.0% MAX,5 lbs,1/2,1/4 + 1 tray,10 lbs,3/4,1/2 + 1 tray,15 lbs,1,3/4 + 1 tray,20 lbs,1 1/3,1 1/4 + 1 tray,25 lbs,1 2/3,1 1/3 + 1 tray,30 lbs,1 3/4 ,1 1/2 + 1 tray","
        Cesar Rotisserie Chicken Flavor With Spring Vegetables Dry Dog Food","
                        $7.19",/assets/img/ratings/rating-4_8.png,16,5-lb bag
"
            By Instinct","Dog,Food","Crude Protein,27.0% min,Crude Fat,17.0% min,Crude Fiber,3.5% max,Moisture,10.0% max,Vitamin E,100 IU/kg min,Ascorbic Acid (Vitamin C)*,85 mg/kg min,Omega 3 Fatty Acids*,0.75% min,Omega 6 Fatty Acids*,2.4 min,5 - 15 lbs,1/2 - 1,1/4 - 1/2,16 - 25 lbs,1 - 1 1/2,1/2 - 1,26 - 50 lbs,1 1/2 - 2 1/2,1 - 1 1/2,51 - 75 lbs,2 1/2 - 3 1/2,1 1/2 - 2 1/4,76 - 100 lbs,3 1/2 - 4 1/4,2 1/4 - 2 3/4","
        Instinct by Nature's Variety Limited Ingredient Diet Grain-Free Recipe with Real Duck Dry Dog Food","
                        $59.99",/assets/img/ratings/rating-4_6.png,46,20-lb bag
"
            By Stella & Chewy's","Dog,Food","Crude Protein,45.0% min,Crude Fat,28.0% min,Crude Fiber,5.0% max,Moisture,5.0% max,Up to 20 lbs,1,21 - 40 lbs,2,Over 40 lbs,2+,5 lbs,2,10 lbs,3,15 lbs,4.5,20 lbs,5,25 lbs,6.5","
        Stella & Chewy's SuperBlends Grass-Fed Beef Recipe Meal Mixers Grain-Free Freeze-Dried Dog Food","
                        $35.99",/assets/img/ratings/rating-4_8.png,17,16-oz bag
"
            By Dog Chow","Dog,Food","Crude Protein,25.0% min,Crude Fat,7.0% min,Crude Fat,9.0% max,Crude Fiber,9.0% max,Moisture,12.0% max,Vitamin A,10,000 IU/kg min,Ascorbic Acid,70 mg/kg min,3 - 12 lbs,1/2 - 1 1/2,13 - 20 lbs,1 1/2 - 2,21 - 35 lbs,2 - 3,36 - 50 lbs,3 - 3 2/3,51 - 75 lbs,3 3/4 - 4 3/4,76 - 100 lbs,4 3/4 - 5 3/4,100+ lbs,5 3/4 + 1/3 cup for each 10 lbs of body weight over 100 lbs","
        Dog Chow Healthy Weight with Real Chicken Dry Dog Food","
                        $22.65",/assets/img/ratings/rating-4_7.png,27,32-lb bag
"
            By Hill's Prescription Diet","Dog,Food","Crude Protein,14.0% min,Crude Fat,13.0% min,Crude Fiber,3.0% max,Calcium,0.5% min,Calcium,1.0% max,Phosphorus,0.35% min,Phosphorus,0.8% max,Vitamin C,85 mg/kg min,Vitamin E,450 IU/kg min,EPA,0.14% min,Omega 3 Fatty Acids,0.5% min,Omega 6 Fatty Acids,2.5% min,5 lb,2.3 kg,1/2 ,50 ,10 lb,4.5 kg,1 ,100 ,15 lb,6.8 kg,1 1/4 ,125 ,20 lb,9.1 kg,1 1/2 ,150 ,30 lb,14 kg,2 1/4 ,225 ,40 lb,18 kg,2 2/3 ,265 ,50 lb,23 kg,3 1/4 ,320 ,60 lb,27 kg,3 2/3 ,365 ,70 lb,32 kg,4 ,395 ,80 lb,36 kg,4 1/2 ,445 ,100 lb,45 kg,5 1/4 ,520 ,120 lb,54 kg,6 ,595","
        Hill's Prescription Diet d/d Canine Skin Support Potato & Duck Dry Dog Food","
                        $77.99",/assets/img/ratings/rating-4_8.png,32,17.6-lb bag
"
            By Merrick","Dog,Food","Crude Protein,32.0% min,Crude Fat,12.0% min,Crude Fiber,3.5% max,Moisture,11.0% max,Omega-6 Fatty Acids,3.0% min,Omega-3 Fatty Acids,0.30% min,Glucosamine,1200 mg/kg min,L-Carnitine,200 mg/kg min,3 lbs,1/2,6 lbs,2/3,10 lbs,1,15 lbs,1 1/3,20 lbs,1 2/3,30 lbs,2 1/4,40 lbs,2 3/4,50 lbs,3 1/3,60 lbs,3 3/4,70 lbs,4 1/4,80 lbs,4 2/3,90 lbs,5,100 lbs,5 1/2","
        Merrick Real Chicken & Sweet Potato Recipe Grain Free Senior Dry Dog Food","
                        $56.83",/assets/img/ratings/rating-4_7.png,4,25-lb bag
"
            By Newman's Own Organics","Dog,Food","Crude Protein,8.0% min,Crude Fat,6.0% min,Crude Fiber,1.0% max,Moisture,78.0% max","
        Newman's Own Organics Chicken & Brown Rice Formula Canned Dog Food","
                        $24.86",/assets/img/ratings/rating-4_9.png,44,"12.7-oz, case of 12"
"
            By Holistic Select","Dog,Food","Crude Protein,23.0% min,Crude Fat,13.0% min,Crude Fiber,3.9% max,Moisture,10.0% max,Calcium,0.95% min,Phosphorus,0.7% min,Vitamin A,22,000 IU/kg min,Vitamin E,165 IU/kg min,Omega 6 Fatty Acids,3.0% min,Omega 3 Fatty Acids,0.5% min,Beta-Carotene,5 mg/kg min,Taurine,0.11% min,Glucosamine,340 mg/kg min,Total Lactic Acid Microorganisms,100,000,000 CFU/lb min,5 - 10 lbs,1/2 - 3/4,10 - 20 lbs,3/4 - 1 1/2,30 - 40 lbs,2 - 2 1/2,50 - 60 lbs,3 - 3 1/2,70 - 80 lbs,4 - 4 1/4,90 - 100 lbs,4 3/4 - 5 1/2,Dogs over 100 lbs,Add approximately 1/2 cup for every 10 lbs over 100 lbs","
        Holistic Select Adult Health Duck Meal  Recipe Dry Dog Food","
                        $56.82",/assets/img/ratings/rating-4_9.png,56,30-lb bag
"
            By Wellness","Dog,Food","Crude Protein,29.0% min,Crude Fat,14.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Omega 6 Fatty Acids,2.5% min,Omega 3 Fatty Acids,1.25% min,Glucosamine,300 mg/kg min,Chondroitin Sulfate,250 mg/kg min,Total Lactic Acid Microorganisms,20,000,000 CFU/lb min,2 - 4 lbs,1/4 - 1/3,5 - 8 lbs,1/2 - 2/3,9 - 12 lbs,3/4 - 1,13 - 16 lbs,1 - 1 1/4,17 - 20 lbs,1 1/4 - 1 1/3,21 - 25 lbs,1 1/3 - 1 2/3","
        Wellness Simple Limited Ingredient Diet Grain-Free Small Breed Salmon & Potato Formula Dry Dog Food","
                        $31.98",/assets/img/ratings/rating-4_7.png,59,10.5-lb bag
"
            By Diamond","Dog,Food","Crude Protein,32.0% min,Crude Fat,22.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,DHA (Docosahexaenoic Acid),0.05% min,Calcium,1.2% min,Phosphorus,1.0% min,Zinc,150 mg/kg min,Selenium,0.3 mg/kg min,Vitamin E,150 IU/kg min,L-Carnitine,30 mg/kg min,Omega 6 Fatty Acids,3.4% min,Omega 3 Fatty Acids,0.5% min,Total Microorganisms,1,000,000 CFU/lb min","
        Diamond Naturals Small Breed Puppy Formula Dry Dog Food","
                        $45.99",/assets/img/ratings/rating-4_7.png,84,40-lb bag
"
            By Purina Beneful","Dog,Food","Crude Protein,25.0% min,Crude Fat,12.0% min,Crude Fiber,4.0% max,Moisture,14.0% max,Linoleic Acid,1.4% min,Calcium,1.0% min,Selenium,0.2 mg/kg min,Vitamin A,10,000 IU/kg min,Vitamin E,100 IU/kg min,3 - 12 lbs,1/2 - 1 1/4,13 - 20 lbs,1 1/3 - 1 3/4,21 - 35 lbs,1 3/4 - 2 1/2,36 - 50 lbs,2 2/3 - 3 1/4,51 - 75 lbs,3 1/4 - 4 1/4,76 - 100 lbs,4 1/4 - 5 1/4,> 100 lbs,5 1/4 + 1/3 cup for each 10 lbs of body weight > 100 lbs","
        Purina Beneful Originals with Real Chicken Dry Dog Food","
                        $13.98",/assets/img/ratings/rating-5_0.png,11,15.5-lb bag
"
            By Nature's Logic","Dog,Food","Crude Protein,36.0% min,Crude Fat,15.0% min,Crude Fiber,5.0% max,Moisture,9.0% max","
        Nature's Logic Canine Chicken Meal Feast Dry Dog Food","
                        $65.84",/assets/img/ratings/rating-4_7.png,91,26.4-lb bag
"
            By Go!","Dog,Food","Crude Protein,24.0% min,Crude Fat,12.0% min,Crude Fiber,4.5% max,Moisture,10.0% max,Calcium,1.2% min,Phosphorus,1.0% min,Omega 6,1.5% min,Omega 3,0.3% min","
        Go! Sensitivity + Shine Limited Ingredient Diet Salmon Recipe Grain-Free Dry Dog Food","
                        $67.99",/assets/img/ratings/rating-4_5.png,34,25-lb bag
"
            By Hill's Prescription Diet","Dog,Food","Crude Protein,12.0% min,Crude Fat,18.0% min,Crude Fiber,5.0% max,Phosphorus,0.15% min,Phosphorus,0.5% max,Sodium,0.30% max,5 lb (2,3 kg),1/2 cup ,10 lb (4,5 kg),3/4 cup ,15 lb (6,8 kg),1 cup ,20 lb (9,1 kg),1 1/4 cup ,30 lb (14 kg),1 3/4 cup ,40 lb (18 kg),2 1/4 cup ,50 lb (23 kg),2 1/2 cup ,60 lb (27 kg),3 cup ","
        Hill's Prescription Diet k/d Kidney Care with Lamb Dry Dog Food","
                        $38.99",/assets/img/ratings/rating-4_7.png,33,8.5-lb bag
"
            By Purina Beyond","Dog,Food","Crude Protein,27.0% min,Crude Fat,16.0% min,Crude Fiber,5.0% max,Moisture,12.0% max,Linoleic Acid,1.2% min,Calcium,1.0% min,Phosphorus,0.8% min,Zinc,150 ppm min,Selenium,0.35 ppm min,Vitamin A,14,000 IU/kg min,Vitamin E,150 IU/kg min,Glucosamine,400 ppm min,Omega 6 Fatty Acids,1.3% min","
        Purina Beyond Grain-Free Beef & Egg Recipe Dry Dog Food","
                        $27.99",/assets/img/ratings/rating-4_6.png,24,13-lb bag
"
            By Natural Balance","Dog,Food","Crude Protein,11.0% min,Crude Fat,6.5% min,Crude Fiber,4.0% max,Moisture,43.0% max","
        Natural Balance Chicken Formula Dog Food Roll","
                        $9.46",/assets/img/ratings/rating-4_4.png,69,3.5-lb 
"
            By Chicken Soup","Dog,Food","Crude Protein,21.0% min,Crude Fat,8.0% min,Crude Fiber,10.0% max,Moisture,10.0% max,Zinc,150 mg/kg min,Selenium,0.35 mg/kg min,Vitamin E,150 IU/kg min,Omega-6 Fatty Acids,1.7% min,Omega-3 Fatty Acids,0.3% min,L-Carnitine,30 mg/kg min,0 - 10 lbs,1/4 - 2/3,10 - 20 lbs,2/3 - 1 1/4,20 - 30 lbs,1 1/4 - 1 2/3,30 - 40 lbs,1 2/3 - 2,40 - 60 lbs,2 - 3,60 - 80 lbs,3 - 3 3/4,80 - 100 lbs,3 3/4 - 4 3/4","
        Chicken Soup for the Soul Adult Weight Care Dry Dog Food","
                        $41.99",/assets/img/ratings/rating-4_8.png,41,30-lb bag
"
            By California Natural","Dog,Food","Crude Protein,21.0% min,Crude Fat,11.0% min,Crude Fiber,6.5% max,Moisture,10.0% max,Linoleic Acid,1.1% min,Iron,100 mg/kg min,Zinc,140 mg/kg min,Vitamin E,300 IU/kg min,Omega 3 Fatty Acids,1.0% min,10 lbs,7/8,20 lbs,1 3/8,30 lbs,1 7/8,40 lbs,2 1/4,50 lbs,2 5/8,60 lbs,3,70 lbs,3 3/8,80 lbs,3 5/8,90 lbs,3 7/8,100 lbs,4 1/4,120 lbs,4 3/4,140 lbs,5 1/4","
        California Natural Adult Limited Ingredient Grain Free Kangaroo & Red Lentils Recipe Dog Food","
                        $62.99",/assets/img/ratings/rating-4_6.png,141,26-lb bag
"
            By Purina Pro Plan Veterinary Diets","Dog,Food","Crude Protein,21.0% min,Crude Fat,9.0% min,Crude Fiber,6.5% max,Moisture,12.0% max,Ash,8.5% max,Calcium,0.9% min,Phosphorus,0.7% min,3 - 12 lbs,3/8 - 1,13 - 20 lbs,1 1/8 - 1 1/2,21 - 35 lbs,1 1/3 - 2 1/8,36 - 50 lbs,2 1/4 - 2 3/4,51 - 75 lbs,2 3/4 - 3 5/8,76 - 100 lbs,3 5/8 - 4 3/8,100+ lbs,Add 1/3 for each 10 lbs of body weight over 100 lbs","
        Purina Pro Plan Veterinary Diets UR Urinary Ox/St Canine Formula Dog Food","
                        $69.09",/assets/img/ratings/rating-4_9.png,20,25-lb bag
"
            By CANIDAE","Dog,Food","Crude Protein ,28.0% min,Crude Fat ,9.0% min,Crude Fiber ,5.0% max,Moisture ,10.0% max,Linoleic Acid (Omega 6),2.0% min,Vitamin E,50 IU/kg min,Alpha Linolenic Acid (Omega 3),0.2% min,Lacobaciluus Acidophilus,100,000,000 CFU/lb min,Cellulase,100 CMCU/kg min,2-5 lbs,1/4,1/5,5-10 lbs,1/2,3/8,10-25 lbs,3/4,5/8,25-50 lbs,1 1/2,1 1/4,50-75 lbs,2 1/2,2 1/8,75-100 lbs,3 1/3,2 7/8,100-125 lbs,4 1/8,3 1/2,125-150 lbs,5,4 1/8","
        CANIDAE Grain-Free PURE Resolve Weight Management with Chicken Dry Dog Food","
                        $56.99",/assets/img/ratings/rating-4_6.png,27,24-lb bag
"
            By Merrick","Dog,Food","Crude Protein,38.0% min,Crude Fat,17.0% min,Crude Fiber,3.5% max,Moisture,11.0% max,Omega-6 Fatty Acids,3.0% min,Omega-3 Fatty Acids,0.3% min,Glucosamine,1200 mg/kg min,Chondroitin Sulfate,1200 mg/kg min,3 lbs,1/3,6 lbs,2/3,10 lbs,1,15 lbs,1 1/4,20 lbs,1 1/2,30 lbs,2,40 lbs,2 1/2,50 lbs,3,60 lbs,3 1/3,70 lbs,3 3/4,80 lbs,4 1/4,90 lbs,4 2/3,100 lbs,5","
        Merrick Backcountry Raw Infused Hero's Banquet Recipe Dry Dog Food","
                        $66.30",/assets/img/ratings/rating-4_9.png,12,22-lb bag
"
            By Canine Caviar","Dog,Food","Crude Protein,27.0% min,Crude Fat,17.0% min,Crude Fiber,5.7% max,Moisture,8.0% max,Calcium,1.1% min,Phosphorus,0.8% min,Omega 6,2.0% min,Omega 3,1.1% min,Taurine,0.1% min","
        Canine Caviar Limited Ingredient Diet Free Spirit Holistic Entrée Dry Dog Food","
                        $66.84",/assets/img/ratings/rating-4_6.png,77,24-lb bag
"
            By Nutro","Dog,Food","Crude Protein,32.0% min,Niacin,250 mg/kg min,Crude Fat,18.0% min,Biotin,2.5 mg/kg min,Crude Fiber,3.5% max,Moisture,10.0% max,Linoleic Acid,3.5% min,Zinc,250 mg/kg min","
        Nutro Wild Frontier  Adult Open Valley Recipe Grain-Free Chicken Dry Dog Food","
                        $52.19",/assets/img/ratings/rating-4_5.png,19,24-lb bag
"
            By Iams","Dog,Food","Crude Protein,26.0% min,Crude Fat,14.0% min,Crude Fiber,6.0% max,Moisture,10.0% max,Docosahexaenoic Acid,0.05% min,Calcium,1.00 % min,Phosphorus,0.80 % min,Vitamin E,150 IU/kg min,Beta-Carotene,12 mg/kg min,L-Carnitine,60 mg/kg min,Omega-6 Fatty Acids,1.93% min,Omega-3 Fatty Acids,0.27% min,Glucosamine,350 mg/kg% min,Chondroitin Sulfate,35 mg/kg min,3 pounds,3/8 – 1/2 cups,10 pounds,3/4 – 1 cups,20 pounds,1 1/4 – 1 3/4 cups,30 pounds,1 3/4 – 2 cups,40 pounds,2 1/4 – 2 1/2 cups,50 pounds,2 1/2 – 3 cups,60 pounds,2 3/4 – 3 1/4 cups,70 pounds,3 1/4 – 3 1/2 cups,80 pounds,3 1/2 – 4 cups,100 pounds,4 – 4 1/2 cups","
        Iams Proactive Health Senior Plus Dry Dog Food","
                        $17.30",/assets/img/ratings/rating-4_9.png,30,12.5-lb bag
"
            By Royal Canin","Dog,Food","Crude Protein,32.0% min,Crude Fat,12.0% min,Crude Fiber,3.5% max,Moisture,10.0% max,Calcium,0.82% min,Phosphorus,0.67% min,Glucosamine,350 mg/kg min,Chondroitin Sulfate,25 mg/kg min,100 lbs,3 1/4s,4 1/4,4 3/4,5 5/8,6 3/8,6 3/8,6 3/8,110 lbs,3 3/4,4 3/4,5 1/8,6 1/8,6 7/8,7,6 7/8,120 lbs,4,5,5 1/2,6 1/2,7 3/8,7 1/2,7 1/2,130 lbs,4 1/8,5 1/4,5 7/8,6 7/8,7 7/8,8,8,140 lbs,4 1/4,5 5/8,6 1/4,7 3/8,8 3/8,8 1/2,8 1/2,160 lbs,4 5/8,6 1/8,6 3/4,8 1/8,9 1/4,9 3/8,9 3/8,180 lbs,4 3/4,6 3/8,7,8 1/2,9 5/8,9 7/8,9 7/8,200 lbs,5 1/8,6 7/8,7 5/8,9 1/4,10 1/2,10 3/4,10 3/4,220 lbs,5 1/2,7 1/2,8 1/4,10,11 3/8,11 5/8,11 5/8","
        Royal Canin Giant Puppy Dry Dog Food","
                        $56.94",/assets/img/ratings/rating-4_7.png,45,30-lb bag
"
            By Diamond","Dog,Food","Crude Protein,22.0% min,Crude Fat,12.0% min,Crude Fiber,3.5% max,Moisture,10.0% max,Calcium,0.9% min,Phosphorus,0.8% min,Zinc,150 mg/kg min,Selenium,0.35 mg/kg min,Vitamin E,150 IU/kg min,Omega 6 Fatty Acids,2.2% min,Omega 3 Fatty Acids,0.3% min","
        Diamond Maintenance Formula Adult Dry Dog Food","
                        $29.99",/assets/img/ratings/rating-4_5.png,14,40-lb bag
"
            By Hill's Science Diet","Dog,Food","Crude Protein,18.0% min,Crude Fat,12.0% min,Crude Fiber,3.0% max,Calcium,0.7% min,Calcium,1.3% max,Phosphorus,0.6% min,Phosphorus,0.8% max,Vitamin C,85 mg/kg min,Vitamin E,450 IU/kg min,Glucosamine,500 ppm min,Chondroitin Sulfate,1000 ppm min","
        Hill's Science Diet Adult Healthy Mobility Small Bites Dry Dog Food","
                        $30.33",/assets/img/ratings/rating-4_9.png,36,15.5-lb bag
"
            By Wellness","Dog,Food","Crude Protein,26.0% min,Crude Fat,12.0% min,Crude Fiber,5.5% max,Moisture,10.0% max,Calcium,1.8% min,Phosphorus,1.1% min,Vitamin A,25,000 IU/kg min,Vitamin E,200 IU/kg min,Omega 6 Fatty Acids,2.25% min,Omega 3 Fatty Acids,1.0% min,Glucosamine,250 mg/kg min,Chondroitin Sulfate,200 mg/kg min,Taurine,0.09% min,Total Lactic Acid Microorganisms,20,000,000 CFU/lb min,7 - 17 lbs,3-7 1/2 - 1 1/4 73 – 143,18 - 23 lbs,8-10 1 1/4 - 1 1/2 143 – 179,24 - 45 lbs,11-20 1 1/2 - 2 1/2 179 – 297,46 - 65 lbs,21-29 2 1/2 - 3 1/3 297 – 391,66 - 85 lbs,30-38 3 1/3 - 4 3/4 391 – 478,86 - 105 lbs,39-47 4 - 4 3/4 478 – 560,106 - 125 lbs,48-57 4 3/4 - 5 1/3 560 - 638,Dogs over 125 lbs,Add 1/4 cup per additional 10 lbs","
        Wellness Grain-Free Complete Health Adult Lamb & Lamb Meal Recipe Dry Dog Food","
                        $52.98",/assets/img/ratings/rating-4_9.png,24,24-lb bag
"
            By Eukanuba","Dog,Food","Crude Protein,27.0% min,Crude Fat,12.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Vitamin E,140 IU/kg min,L-Carnitine,40 mg/kg min,Beta-Carotene,10 mg/kg min,Omega 6 Fatty Acids,1.35% min,Omega 3 Fatty Acids,0.25% min,Glucosamine,375 mg/kg min,Chondroitin Sulfate,35 mg/kg min,3 lbs,3/8 - 1/2,10 lbs,3/4 - 1,20 lbs,1 1/4 - 1 1/2,30 lbs,1 1/2 - 2,40 lbs,2 - 2 1/4,50 lbs,2 1/4 - 2 3/4,60 lbs,2 1/2 - 3,70 lbs,2 3/4 - 3 1/4,80 lbs,3 - 3 1/2,100 lbs,3 1/2 - 4 1/4","
        Eukanuba Senior Lamb & Rice Formula Dry Dog Food","
                        $38.24",/assets/img/ratings/rating-4_6.png,6,30-lb bag
"
            By Halo","Dog,Food","Crude Protein ,28.0% min ,Crude Fat ,12.0% min ,Crude Fiber ,6.0% max ,Moisture ,10.0% max ,Omega 6 Fatty Acids ,4.05% min ,Omega 3 Fatty Acids ,1.23% min ,5-10 lbs ,1/3 - 2/3 ,1/2 - 1 ,11-20 lbs ,2/3 - 1 ,1 - 1 1/2 ,21 - 30 lbs ,1 - 1 1/3 ,1 1/2 - 2 1/4 ,31 - 40 lbs ,1 1/3 - 1 3/4 ,2 1/4 - 2 3/4 ,41 - 50 lbs ,1 3/4 - 2 ,2 3/4 - 3 1/4 ,51 - 60 lbs ,2 - 2 1/3 ,3 1/4 - 3 3/4 ,61 - 80 lbs ,2 - 1/3 - 2 3/4 ,3 3/4 - 4 1/2 ,81 - 100 lbs ,2 3/4 - 3 1/2 ,4 1/2 - 5 1/2 ,100 lbs & above ,3 1/2 + 1/4 for each additional 10 lbs ,3 1/2 + 1/4 for each additional 10 lbs ","
        Halo Spot's Stew Healthy Weight Grain-Free Turkey Liver & Duck Recipe Dry Dog Food","
                        $59.99",/assets/img/ratings/rating-4_7.png,56,28-lb bag
"
            By Purina Beyond","Dog,Food","Crude Protein,27.0% min,Crude Fat,16.0% min,Crude Fiber,5.0% max,Moisture,12.0% max,Linoleic Acid,1.3% min,Calcium,1.0% min,Phosphorus,0.8% min,Zinc,150 ppm min,Selenium,0.35 ppm min,Vitamin A,14,000 IU/kg min,Vitamin E,150 IU/kg min,Glucosamine,400 ppm min,Omega 6 Fatty Acids,1.3% min,3 - 12 lbs (1.4 - 5.4 kg) ,1/3 to 1 cup (39 - 117 g) ,13 - 20 lbs (5.9 - 9.1 kg) ,1 to 1 1/3 cups (117 - 156 g),21 - 35 lbs (16.3 - 22.7 kg) ,1 1/3 to 2 cups (156 - 234 g) ,36 - 50 lbs (16.3 - 22.7 kg) ,2 to 2 2/3 cups (234 - 312 g) ,51 - 75 lbs (23.1 - 34.0 kg) ,2 2/3 to 3 1/3 cups (312 - 390 g) ,76 - 100 lbs (34.5 - 45.4 kg),3 1/3 to 4 cups (390 - 468 g),Over 100 lbs (Over 45.4 kg) ,4 cups (468 g) plus 1/3 cup (39 g) for each 10lbs (4.5 kg) of body weight over 100 lbs (45.4 kg) ","
        Purina Beyond White Meat Chicken & Egg Recipe Grain-Free Dry Dog Food","
                        $25.60",/assets/img/ratings/rating-4_8.png,28,13-lb bag
"
            By Pro Pac","Dog,Food","Crude Protein,23.0% min,Crude Fat,13.0% min,Crude Fiber,5.0% max,Moisture,10.0% max,Vitamin E,100 IU/kg min,Ascorbic Acid (Vitamin C),35 mg/kg min,L-Carnitine,15 mg/kg min,Beta-Carotene,5 mg/kg min,Omega 6 Fatty Acids,3.0% min,Omega 3 Fatty Acids,0.6% min,Glucosamine,400 mg/kg min,Chondroitin Sulfate,250 mg/kg min","
        Pro Pac Ultimates Chicken Meal & Brown Rice Large Breed Adult Dry Dog Food","
                        $29.99",/assets/img/ratings/rating-4_8.png,10,28-lb bag
"
            By Castor & Pollux","Dog,Food","Crude Protein,38.0% min,Crude Fat,17.0% min,Crude Fiber,3.5% max,Moisture,10.0% max,Calcium,1.2% min,Phosphorus,1.0% min,Vitamin E,75 IU/kg min,Glucosamine,1,200 mg/kg min,Chondroitin Sulfate,1,200 mg/kg min,Omega 6 Fatty Acid,3.0% min,Omega 3 Fatty Acid,0.25% min,3 lbs,1/3,6 lbs,2/3,10 lbs,1,15 lbs,1 1/3,20 lbs,1 2/3,30 lbs,2 1/4,40 lbs,2 2/3,50 lbs,3 1/3,60 lbs,3 1/2,70 lbs,4,80 lbs,4 1/2,90 lbs,4 3/4,100 lbs,5 1/3","
        Castor & Pollux Natural UltraMix Grain-Free Real Chicken & Sweet Potato Recipe Dry Dog Food","
                        $53.99",/assets/img/ratings/rating-4_5.png,21,25-lb bag
"
            By Newman's Own Organics","Dog,Food","Crude Protein,21.0% min,Crude Fat,12.0% min,Crude Fiber,4.5% max,Moisture,10.0% max,5 lbs,1/2,10 - 20 lbs,1 - 1 1/3,20 - 40 lbs,1 1/3 - 2 1/4,40 - 60 lbs,2 - 3,60 - 80 lbs,3 - 4","
        Newman's Own Adult Formula Dry Dog Food","
                        $47.69",/assets/img/ratings/rating-4_7.png,50,25-lb bag
"
            By Dog Chow","Dog,Food","Crude Protein,21.0% min,Crude Fat,10.0% min,Crude Fiber,4.5% max,Moisture,12.0% max,Linoleic Acid,1.5% min,Calcium,1.0% min,Phosphorus,0.8% min,Vitamin A,10,000 IU/kg min,3 - 12 lbs,1/2 - 1 1/4,13 - 20 lbs,1 1/4 - 1 1/2,21 - 35 lbs,1 1/2 - 2 1/4,36 - 50 lbs,2 1/4 - 2 3/4,51 - 75 lbs,2 3/4 - 3 2/3,76 - 100 lbs,3 2/3 - 4 1/3,100+ lbs,4-1/3 + 1/3","
        Dog Chow Complete Adult Chicken Flavor Dry Dog Food","
                        $11.96",/assets/img/ratings/rating-4_5.png,6,18.5-lb bag
"
            By Instinct","Dog,Food","Crude Protein,36.0% min,Crude Fat,30.0% min,Crude Fiber,15.0% max,Moisture,6.0% max,Up to 20 lbs,1/4,59,21 to 40 lbs,1/2,118,41 to 60 lbs,3/4,177,Over 60 lbs,3/4+,177+","
        Instinct by Nature's Variety Raw Boost Mixers Grain-Free Grass-Fed Lamb Recipe Freeze-Dried Dog Food Topper","
                        $27.99",/assets/img/ratings/rating-4_5.png,30,12.5-oz bag
"
            By Instinct","Dog,Food","Crude Protein,38.0% min,Crude Fat,20.0% min,Crude Fiber,4.0% max,Moisture,10.0% max,Vitamin E,100 IU/kg min,Ascorbic Acid (Vitamin C)*,85 mg/kg min,Omega 3 Fatty Acids* ,0.3% min,Omega 6 Fatty Acids*,2.6% min,5 - 15 lbs,1/2 - 1,1/4 - 3/4,16 - 25 lbs,1 - 1 1/2,3/4 - 1,26 - 50 lbs,1 1/2 - 2 1/2,1 - 1 1/2,51 - 100 lbs,2 1/2 - 4 1/4,1 1/2 - 2 3/4","
        Instinct by Nature's Variety Original Grain-Free Recipe with Real Beef Dry Dog Food","
                        $59.99",/assets/img/ratings/rating-4_3.png,32,20-lb bag
"
            By Whole Earth Farms","Dog,Food","Crude Protein,26.0% min,Crude Fat,13.0% min,Crude Fiber,4.5% max,Moisture,11.0% max,Up to 5 lbs,1/4 – 1/2,1/4 – 2/3,6 - 10 lbs,1/2 – 1,2/3 – 1 1/4,11 - 15 lbs,1 – 1 1/3,1 1/4 – 1 1/2,16 - 20 lbs,1 1/3 – 1 /2/3,1 1/2 – 2,21 - 25 lbs,1 2/3 – 2,1 1/2 – 2,26 - 30 lbs,2 – 2 1/3,2 1/4 – 2 1/2","
        Whole Earth Farms Grain-Free Small Breed Dry Dog Food","
                        $25.25",/assets/img/ratings/rating-4_8.png,38,12-lb bag
"
            By Sojos","Dog,Food","Crude Protein,22.0% min,Crude Fat,12.0% min,Crude Fiber,7.0% max,Moisture,10.0% max,1 - 10 lbs,Average,1/2 cup,3/4 cup","
        Sojos Complete Lamb Recipe Grain-Free Freeze-Dried Dog Food","
                        $83.14",/assets/img/ratings/rating-4_4.png,82,8-lb bag
